"","gene_symbol","2021_02_12_DS1_Cell","2021_02_12_DS1_Pt","2021_02_12_DS76_Cell","2021_02_12_DS81_Cell","2024_07_02_DS76_Pt","2024_07_02_DS81_Pt"
"14279","NEUROG2",3,8,0,13,0,2
"14280","CEP295NL",2,0,3,0,0,0
"14281","BEND3",576,285,742,941,301,263
"14282","NT5DC1",612,683,461,542,359,250
"14283","RPS3AP5",95,88,166,87,0,7
"14284","TIMM23B-AGAP6",1156,496,133,157,380,166
"14285","GLDC",524,432,2934,1321,1005,598
"14286","COX14",609,654,422,493,585,1619
"14288","MCMDC2",44,63,0,1,2,6
"14289","TUBAL3",0,0,0,0,0,3
"14290","RPL10P16",814,907,423,550,611,908
"14291","P4HTM",2526,1834,313,568,1056,3323
"14292","UCN3",0,0,0,0,0,0
"14293","DTX3",0,26,0,8,53,573
"14294","KLHL11",866,1116,379,596,438,157
"14296","AMBN",0,0,0,0,0,0
"14297","CTXN1",287,69,30,94,40,102
"14298","SLC25A20",909,1566,807,508,761,1092
"14299","CA8",0,39,0,2,9,15
"14301","CD28",1,49,4,4,40,28
"14302","EPM2AIP1",3951,2018,1546,1371,1892,678
"14303","ERBB4",0,0,0,4,0,0
"14304","MAF",425,50,84,115,36,195
"14305","CTNNBIP1",2364,2235,1641,852,1332,2712
"14306","OR6B3",0,0,0,0,0,0
"14307","DEFB125",0,0,0,0,0,0
"14309","PSAPL1",0,0,0,0,0,0
"14310","OTOS",0,0,0,0,0,0
"14311","GTPBP6",4830,5713,2281,1890,2696,2854
"14312","ERN1",766,544,425,656,664,493
"14313","GPR35",129,143,70,54,114,1947
"14316","C10orf53",0,0,0,0,0,0
"14319","CSRNP3",0,0,0,0,0,0
"14320","ZNF713",281,258,189,171,225,86
"14321","PARP10",1543,1512,515,718,2641,10591
"14322","DYNAP",5,5,0,1,19,7
"14323","SUZ12",661,1255,499,492,291,25
"14324","NSUN3",968,765,573,572,411,265
"14325","KCTD12",706,663,911,2839,466,436
"14326","DHFR2",345,268,216,406,130,85
"14327","RPS16P1",8,6,4,2,0,3
"14328","RPP25",0,13,21,453,22,1089
"14329","GRINA",7066,4762,2902,3109,1448,3769
"14330","GLULP4",0,0,0,0,0,0
"14331","THBD",24,23,130,40,42,103
"14332","GP5",33,82,19,130,8,15
"14333","COX5A",3894,4798,3221,3718,2579,5482
"14334","STX19",0,0,0,0,0,0
"14335","ERFE",45,358,9,25,196,476
"14336","FAM219B",1768,970,510,342,2024,3280
"14337","H2BC2P",0,0,0,0,0,0
