"","id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","DS1_Cell","DS1_Pt","DS76_Cell","DS81_Cell","DS76_Pt","DS81_Pt"
"56","PPP2R5C",11631.6963710188,2.50390988207082,0.564550652236719,4.4352262673871,9.19756334554112e-06,0.0017273669405968,13430,6226,18804,24444,3093,2079
"57","CYTH4",956.953825376297,-4.27821201681513,0.96431449798393,-4.4365318843173,9.14197994436987e-06,0.0017273669405968,38,439,205,22,2527,2135
"58","ACSL6",214.855512002052,-2.91285196453427,0.660136590816311,-4.41249887531957,1.02184325597662e-05,0.00188600552676374,95,854,27,45,204,236
"59","SMIM5",540.644902556125,-4.16971875708977,0.950634738395612,-4.38624698706783,1.15323166809532e-05,0.00209243135711193,164,389,16,30,295,2234
"60","CMTM2",1207.42344100045,-3.84500817886468,0.881001979586439,-4.36435816031833,1.27496541833439e-05,0.00227475080054494,156,942,113,199,419,5095
"61","CCDC102A",320.372317597693,-3.4722581990282,0.797771822612225,-4.35244527396146,1.3462748399147e-05,0.00236260199365358,144,341,38,11,558,810
"62","CUEDC1",577.996638007609,-4.19928228753573,0.965806359655048,-4.34795468631576,1.37412984903819e-05,0.00237259032805706,64,442,108,11,305,2383
"63","MKNK2",1983.85272983262,-1.9617823513179,0.452276030787818,-4.33757753622423,1.44061720398709e-05,0.00244790589979076,1418,4205,802,446,2492,3195
"64","IER2",8867.55753938137,-2.1635623347062,0.501588113448032,-4.31342425527864,1.60745228341694e-05,0.00268871510843412,3620,17390,3985,2278,8650,18815
"65","CDKN2D",1350.7721799736,-2.17688370717775,0.507425101992337,-4.29005916071259,1.78625527916292e-05,0.00294182504052908,409,2560,658,376,2396,1856
"66","RHOB",3775.69517349061,-4.38635220486274,1.02710710785722,-4.2705888911758,1.94957495271641e-05,0.00316215149527714,1185,19829,40,122,1182,4662
"67","LCN10",10130.588752721,-4.10049211387254,0.961670749466532,-4.26392516996821,2.00866737745695e-05,0.00320937078741443,1939,2906,463,1231,5026,45281
"68","CD69",697.059263646877,-3.13006599944291,0.735294752924362,-4.25688608139012,2.07293912641495e-05,0.00326335490415765,76,1073,257,75,1890,775
"69","H2AC19",1053.65607607635,-2.9199590412788,0.68668197775857,-4.25227271991319,2.11611937152434e-05,0.00328305186553161,400,730,205,190,1268,3308
"70","ZFP36",3896.90016996318,-1.64151473106956,0.387338224534504,-4.23793632307347,2.25583724626476e-05,0.00344981967446633,2520,7807,1900,1494,4542,6126
"71","RAB3IL1",102.827392113045,-3.15496988817202,0.747171740054654,-4.22254980888495,2.41553995043482e-05,0.00364202185484574,18,256,12,31,85,241
"72","TSSC4",786.13956129401,-2.90517988535021,0.688670323628622,-4.21853503145415,2.45894770731659e-05,0.0036559771120589,183,477,167,203,1413,2042
"73","TNIP2",323.999682079476,-2.25136640305378,0.535818032130718,-4.2017369107588,2.64874854805934e-05,0.00388422646670893,175,421,88,97,445,724
"74","ZGLP1",549.524435195224,-4.50106373488636,1.07542374255801,-4.18538624057164,2.84681615108836e-05,0.00406335558632011,102,93,30,28,191,2622
"75","HLA-DPB1",1233.0489144918,-3.14302029906731,0.750817041736,-4.18613340448452,2.83746619954321e-05,0.00406335558632011,291,457,231,244,2956,2773
"76","KBTBD7",222.242062549775,2.84254857489277,0.679828700901631,4.18127179850277,2.8988309435352e-05,0.00408315595401899,374,82,445,346,75,16
"77","WASHC2A",865.038655690428,-2.95773828847468,0.717796382336464,-4.12058121391903,3.77917819652226e-05,0.00525403929789231,330,464,198,115,1403,2460
"78","SH3BP2",4685.11523115563,-2.40235333723629,0.584851456641342,-4.10762991175984,3.99739944725534e-05,0.00548617449780365,3575,7445,989,695,6197,10128
"79","SARS2",255.217918865617,-2.72998880307678,0.665484733533005,-4.10225609321417,4.09141059816389e-05,0.00554412031054993,68,211,69,64,407,657
"80","KLF6",10873.5945898415,-2.92923375687521,0.715308205813426,-4.09506522233193,4.22049556511866e-05,0.0056475506280744,4536,53953,2025,1765,8783,6044
"81","MCEMP1",328.514781097908,-4.23222462578262,1.0362294903998,-4.08425417824168,4.42186086534399e-05,0.00584395315598857,23,61,61,13,354,1308
"82","OBI1",1325.57119069543,1.81184900306442,0.44409231651857,4.07989270624693,4.50564924639866e-05,0.00588207014423142,2405,993,1714,2178,452,459
"83","SELPLG",691.973644104546,-3.81482165285654,0.937834826677886,-4.06769032705884,4.74814232177396e-05,0.00606357918163937,35,472,190,33,688,2513
"84","SERHL2",697.721540400039,-3.75736162833555,0.923818326707008,-4.06720836739496,4.75796965210376e-05,0.00606357918163937,184,181,112,27,936,2488
"85","RAB30",224.175254443505,2.53634692680299,0.625400412989036,4.0555568466621,5.00150062278441e-05,0.00629894872551849,312,73,295,506,89,40
"86","RPS29",5874.15781861674,-3.22059443225274,0.794811400853753,-4.05202344706343,5.0776574956785e-05,0.00632050273153934,1788,1617,1003,867,10693,17157
"87","MMP17",5737.1000726426,-3.42490594839746,0.846148190245636,-4.04764317631313,5.17359356605886e-05,0.00636589874996093,2027,2868,828,478,3839,22849
"88","VASP",516.046602205071,-3.72641670958612,0.9251961730996,-4.02770441332658,5.63240920477366e-05,0.00685169778830704,53,113,118,41,911,1631
